index,title_raw,abstract_raw,title_clean,abstract_clean,mediphi_temp_0.5
199,"Oxytocin Enhances an Amygdala Circuit Associated With Negative Symptoms in Schizophrenia: A Single-Dose, Placebo-Controlled, Crossover, Randomized Control Trial","<jats:title>Abstract</jats:title><jats:p>Negative symptoms are core contributors to vocational and social deficits in schizophrenia (SZ). Available antipsychotic medications typically fail to reduce these symptoms. The neurohormone oxytocin (OT) is a promising treatment for negative symptoms, given its role in complex social behaviors mediated by the amygdala. In sample 1, we used a double-blind, placebo-controlled, crossover design to test the effects of a single dose of intranasal OT on amygdala resting-state functional connectivity (rsFC) in SZ (n = 22) and healthy controls (HC, n = 24) using a whole-brain corrected approach: we identified regions for which OT modulated SZ amygdala rsFC, assessed whether OT-modulated circuits were abnormal in SZ relative to HC on placebo, and evaluated whether connectivity on placebo and OT-induced connectivity changes correlated with baseline negative symptoms in SZ. Given our modest sample size, we used a second SZ (n = 183) and HC (n = 178) sample to replicate any symptom correlations. In sample 1, OT increased rsFC between the amygdala and left middle temporal gyrus, superior temporal sulcus, and angular gyrus (MTG/STS/AngG) in SZ compared to HC. Further, SZ had hypo-connectivity in this circuit compared to HC on placebo. More severe negative symptoms correlated with less amygdala-to-left-MTG/STS/AngG connectivity on placebo and with greater OT-induced connectivity increases. In sample 2, we replicated the correlation between amygdala-left-MTG/STS/AngG hypo-connectivity and negative symptoms, finding a specific association with expressive negative symptoms. These data suggest intranasal OT can normalize functional connectivity in an amygdala-to-left-MTG/STS/AngG circuit that contributes to negative symptoms in SZ.</jats:p>","Oxytocin Enhances an Amygdala Circuit Associated With Negative Symptoms in Schizophrenia: A Single-Dose, Placebo-Controlled, Crossover, Randomized Control Trial","Abstract Negative symptoms are core contributors to vocational and social deficits in schizophrenia (SZ). Available antipsychotic medications typically fail to reduce these symptoms. The neurohormone oxytocin (OT) is a promising treatment for negative symptoms, given its role in complex social behaviors mediated by the amygdala. In sample 1, we used a double-blind, placebo-controlled, crossover design to test the effects of a single dose of intranasal OT on amygdala resting-state functional connectivity (rsFC) in SZ (n = 22) and healthy controls (HC, n = 24) using a whole-brain corrected approach: we identified regions for which OT modulated SZ amygdala rsFC, assessed whether OT-modulated circuits were abnormal in SZ relative to HC on placebo, and evaluated whether connectivity on placebo and OT-induced connectivity changes correlated with baseline negative symptoms in SZ. Given our modest sample size, we used a second SZ (n = 183) and HC (n = 178) sample to replicate any symptom correlations. In sample 1, OT increased rsFC between the amygdala and left middle temporal gyrus, superior temporal sulcus, and angular gyrus (MTG/STS/AngG) in SZ compared to HC. Further, SZ had hypo-connectivity in this circuit compared to HC on placebo. More severe negative symptoms correlated with less amygdala-to-left-MTG/STS/AngG connectivity on placebo and with greater OT-induced connectivity increases. In sample 2, we replicated the correlation between amygdala-left-MTG/STS/AngG hypo-connectivity and negative symptoms, finding a specific association with expressive negative symptoms. These data suggest intranasal OT can normalize functional connectivity in an amygdala-to-left-MTG/STS/AngG circuit that contributes to negative symptoms in SZ.","A: 1. The study was conducted in the presence of a placebo. 2. The study was conducted in a well-designed, randomized, and placebo-controlled environment. 3. The study was"
200,Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,"<jats:p> The “5-to-7-year shift” refers to the remarkable improvements observed in children’s cognitive abilities during this age range, particularly in their ability to exert control over their attention and behavior—that is, their executive functioning. As this shift coincides with school entry, the extent to which it is driven by brain maturation or by exposure to formal schooling is unclear. In this longitudinal study, we followed 5-year-olds born close to the official cutoff date for entry into first grade and compared those who subsequently entered first grade that year with those who remained in kindergarten, which is more play oriented. The first graders made larger improvements in accuracy on an executive-function test over the year than did the kindergartners. In an independent functional MRI task, we found that the first graders, compared with the kindergartners, exhibited a greater increase in activation of right posterior parietal cortex, a region previously implicated in sustained attention; increased activation in this region was correlated with the improvement in accuracy. These results reveal how the environmental context of formal schooling shapes brain mechanisms underlying improved focus on cognitively demanding tasks. </jats:p>",Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?,"The “5-to-7-year shift” refers to the remarkable improvements observed in children’s cognitive abilities during this age range, particularly in their ability to exert control over their attention and behavior—that is, their executive functioning. As this shift coincides with school entry, the extent to which it is driven by brain maturation or by exposure to formal schooling is unclear. In this longitudinal study, we followed 5-year-olds born close to the official cutoff date for entry into first grade and compared those who subsequently entered first grade that year with those who remained in kindergarten, which is more play oriented. The first graders made larger improvements in accuracy on an executive-function test over the year than did the kindergartners. In an independent functional MRI task, we found that the first graders, compared with the kindergartners, exhibited a greater increase in activation of right posterior parietal cortex, a region previously implicated in sustained attention; increased activation in this region was correlated with the improvement in accuracy. These results reveal how the environmental context of formal schooling shapes brain mechanisms underlying improved focus on cognitively demanding tasks.","Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
201,The relationship between cerebrospinal fluid markers of Alzheimer pathology and positron emission tomography tau imaging,,The relationship between cerebrospinal fluid markers of Alzheimer pathology and positron emission tomography tau imaging,,understanding
202,Metacognitive ability correlates with hippocampal and prefrontal microstructure,,Metacognitive ability correlates with hippocampal and prefrontal microstructure,,"More importantly, I do not want a summary of the title/abstract i want a list of words that are essential for each title and abstract."
204,"Multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks","<jats:title>Abstract</jats:title><jats:p>The default network is involved in self-generated thought, a class of cognition that includes autobiographical memory, prospection, and reasoning about the mental states of others. We collected a replication sample of Spreng and Grady (<jats:italic>J Cogn. Neurosci</jats:italic>. 22, 1112–1123, 2010), confirming that the default network differentially supports each of these forms of self-generated thought. Here we describe this dataset of multi-echo fMRI data in 31 young adults during autobiographical remembering, imagining, and mentalizing; we also provide an additional resting-state scan for each subject. In this new sample, the findings from the original report are successfully replicated using the same analysis. Physiological measures were additionally collected and allow for interrogation of the impact of multi-echo independent components preprocessing both in task and rest. Future work on this dataset may provide insight into evoked brain response for cued self-generated thought, International Affective Picture System viewing, resting state dynamics, preprocessing procedures, and more. The dataset is accompanied by experimental code for independent behavioral data collection.</jats:p>","Multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks","Abstract The default network is involved in self-generated thought, a class of cognition that includes autobiographical memory, prospection, and reasoning about the mental states of others. We collected a replication sample of Spreng and Grady ( J Cogn. Neurosci . 22, 1112–1123, 2010), confirming that the default network differentially supports each of these forms of self-generated thought. Here we describe this dataset of multi-echo fMRI data in 31 young adults during autobiographical remembering, imagining, and mentalizing; we also provide an additional resting-state scan for each subject. In this new sample, the findings from the original report are successfully replicated using the same analysis. Physiological measures were additionally collected and allow for interrogation of the impact of multi-echo independent components preprocessing both in task and rest. Future work on this dataset may provide insight into evoked brain response for cued self-generated thought, International Affective Picture System viewing, resting state dynamics, preprocessing procedures, and more. The dataset is accompanied by experimental code for independent behavioral data collection.","The term ""multi-echo fMRI replication sample of autobiographical memory, prospection and theory of mind reasoning tasks"" is essential for the text because it provides the dataset of the study. The text should include the following keywords: ""multi-echo"", ""replication"", ""task"", ""subject"", ""memory"", ""premature"", ""theory of mind"", ""reading"", ""memory processing"", ""analysis"", ""preprocessing"", ""implementation"", ""data collection"", and ""experimental code""."
206,Dissociable Roles of Cerebral μ-Opioid and Type 2 Dopamine Receptors in Vicarious Pain: A Combined PET–fMRI Study,,Dissociable Roles of Cerebral μ-Opioid and Type 2 Dopamine Receptors in Vicarious Pain: A Combined PET–fMRI Study,,"""fMRI"": A type of neuroimaging technique"
207,Recruitment of cognitive control regions during effortful self-control is associated with altered brain activity in control and reward systems in dieters during subsequent exposure to food commercials,"<jats:p>Engaging in effortful self-control can sometimes impair people’s ability to resist subsequent temptations. Existing research has shown that when chronic dieters’ self-regulatory capacity is challenged by prior exertion of effort, they demonstrate disinhibited eating and altered patterns of brain activity when exposed to food cues. However, the relationship between brain activity during self-control exertion and subsequent food cue exposure remains unclear. In the present study, we investigated whether individual differences in recruitment of cognitive control regions during a difficult response inhibition task are associated with a failure to regulate neural responses to rewarding food cues in a subsequent task in a cohort of 27 female dieters. During self-control exertion, participants recruited regions commonly associated with inhibitory control, including dorsolateral prefrontal cortex (DLPFC). Those dieters with higher DLPFC activity during the initial self-control task showed an altered balance of food cue elicited activity in regions associated with reward and self-control, namely: greater reward-related activity and less recruitment of the frontoparietal control network. These findings suggest that some dieters may be more susceptible to the effects of self-control exertion than others and, whether due to limited capacity or changes in motivation, these dieters subsequently fail to engage control regions that may otherwise modulate activity associated with craving and reward.</jats:p>",Recruitment of cognitive control regions during effortful self-control is associated with altered brain activity in control and reward systems in dieters during subsequent exposure to food commercials,"Engaging in effortful self-control can sometimes impair people’s ability to resist subsequent temptations. Existing research has shown that when chronic dieters’ self-regulatory capacity is challenged by prior exertion of effort, they demonstrate disinhibited eating and altered patterns of brain activity when exposed to food cues. However, the relationship between brain activity during self-control exertion and subsequent food cue exposure remains unclear. In the present study, we investigated whether individual differences in recruitment of cognitive control regions during a difficult response inhibition task are associated with a failure to regulate neural responses to rewarding food cues in a subsequent task in a cohort of 27 female dieters. During self-control exertion, participants recruited regions commonly associated with inhibitory control, including dorsolateral prefrontal cortex (DLPFC). Those dieters with higher DLPFC activity during the initial self-control task showed an altered balance of food cue elicited activity in regions associated with reward and self-control, namely: greater reward-related activity and less recruitment of the frontoparietal control network. These findings suggest that some dieters may be more susceptible to the effects of self-control exertion than others and, whether due to limited capacity or changes in motivation, these dieters subsequently fail to engage control regions that may otherwise modulate activity associated with craving and reward.","Example: example_title:Network neuroscienceexample_abstract:Despite substantial recent progress, our understanding of the principles and mechanisms underlying complex brain function and cognition remains incomplete. Network neuroscience proposes to tackle these enduring challenges. Approaching brain structure and function from an explicitly integrative perspective, network neuroscience pursues new ways to map, record, analyze and model the elements and interactions of neurobiological systems. Two parallel trends drive the approach: the availability of"
211,Oscillatory Dynamics Supporting Semantic Cognition: MEG Evidence for the Contribution of the Anterior Temporal Lobe Hub and Modality-Specific Spokes,,Oscillatory Dynamics Supporting Semantic Cognition: MEG Evidence for the Contribution of the Anterior Temporal Lobe Hub and Modality-Specific Spokes,,"understanding, principles, mechanisms, cognition, paradigm, semantic cognition, semantic cognition, paradigm support, paradigm support evidence, semantic cognition, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support evidence, paradigm support"
212,Toward an electrophysiological “sweet spot” for deep brain stimulation in the subthalamic nucleus,"<jats:title>Abstract</jats:title><jats:p>Enhanced beta‐band activity recorded in patients suffering from Parkinson‘s Disease (PD) has been described as a potential physiomarker for disease severity. Beta power is suppressed by Levodopa intake and STN deep brain stimulation (DBS) and correlates with disease severity across patients. The aim of the present study was to explore the promising signature of the physiomarker in the spatial domain. Based on local field potential data acquired from 54 patients undergoing STN‐DBS, power values within alpha, beta, low beta, and high beta bands were calculated. Values were projected into common stereotactic space after DBS lead localization. Recorded beta power values were significantly higher at posterior and dorsal lead positions, as well as in active compared with inactive pairs. The peak of activity in the beta band was situated within the sensorimotor functional zone of the nucleus. In contrast, higher alpha activity was found in a more ventromedial region, potentially corresponding to associative or premotor functional zones of the STN. Beta‐ and alpha‐power peaks were then used as seeds in a fiber tracking experiment. Here, the beta‐site received more input from primary motor cortex whereas the alpha‐site was more strongly connected to premotor and prefrontal areas. The results summarize predominant spatial locations of frequency signatures recorded in STN‐DBS patients in a probabilistic fashion. The site of predominant beta‐activity may serve as an electrophysiologically determined target for optimal outcome in STN‐DBS for PD in the future. <jats:italic>Hum Brain Mapp 38:3377–3390, 2017</jats:italic>. © <jats:bold>2017 Wiley Periodicals, Inc.</jats:bold></jats:p>",Toward an electrophysiological “sweet spot” for deep brain stimulation in the subthalamic nucleus,"Abstract Enhanced beta‐band activity recorded in patients suffering from Parkinson‘s Disease (PD) has been described as a potential physiomarker for disease severity. Beta power is suppressed by Levodopa intake and STN deep brain stimulation (DBS) and correlates with disease severity across patients. The aim of the present study was to explore the promising signature of the physiomarker in the spatial domain. Based on local field potential data acquired from 54 patients undergoing STN‐DBS, power values within alpha, beta, low beta, and high beta bands were calculated. Values were projected into common stereotactic space after DBS lead localization. Recorded beta power values were significantly higher at posterior and dorsal lead positions, as well as in active compared with inactive pairs. The peak of activity in the beta band was situated within the sensorimotor functional zone of the nucleus. In contrast, higher alpha activity was found in a more ventromedial region, potentially corresponding to associative or premotor functional zones of the STN. Beta‐ and alpha‐power peaks were then used as seeds in a fiber tracking experiment. Here, the beta‐site received more input from primary motor cortex whereas the alpha‐site was more strongly connected to premotor and prefrontal areas. The results summarize predominant spatial locations of frequency signatures recorded in STN‐DBS patients in a probabilistic fashion. The site of predominant beta‐activity may serve as an electrophysiologically determined target for optimal outcome in STN‐DBS for PD in the future. Hum Brain Mapp 38:3377–3390, 2017 . © 2017 Wiley Periodicals, Inc.","More importantly, I do not want a summary of the title/abstract i want a list of words that are also relational to each other, specifically words that are essential for each title and abstract."
213,Independent Neural Computation of Value from Other People's Confidence,"<jats:p>Expectation of reward can be shaped by the observation of actions and expressions of other people in one's environment. A person's apparent confidence in the likely reward of an action, for instance, makes qualities of their evidence, not observed directly, socially accessible. This strategy is computationally distinguished from associative learning methods that rely on direct observation, by its use of inference from indirect evidence. In twenty-three healthy human subjects, we isolated effects of first-hand experience, other people's choices, and the mediating effect of their confidence, on decision-making and neural correlates of value within ventromedial prefrontal cortex (vmPFC). Value derived from first-hand experience and other people's choices (regardless of confidence) were indiscriminately represented across vmPFC. However, value computed from agent choices weighted by their associated confidence was represented with specificity for ventromedial area 10. This pattern corresponds to shifts of connectivity and overlapping cognitive processes along a posterior-anterior vmPFC axis. Task behavior and self-reported self-reliance for decision-making in other social contexts correlated. The tendency to conform in other social contexts corresponded to increased activation in cortical regions previously shown to respond to social conflict in proportion to subsequent conformity (Campbell-Meiklejohn et al., 2010). The tendency to self-monitor predicted a selectively enhanced response to accordance with others in the right temporoparietal junction (rTPJ). The findings anatomically decompose vmPFC value representations according to computational requirements and provide biological insight into the social transmission of preference and reassurance gained from the confidence of others.</jats:p><jats:p><jats:bold>SIGNIFICANCE STATEMENT</jats:bold>Decades of research have provided evidence that the ventromedial prefrontal cortex (vmPFC) signals the satisfaction we expect from imminent actions. However, we have a surprisingly modest understanding of the organization of value across this substantial and varied region. This study finds that using cues of the reliability of other peoples' knowledge to enhance expectation of personal success generates value correlates that are anatomically distinct from those concurrently computed from direct, personal experience. This suggests that representation of decision values in vmPFC is suborganized according to the underlying computation, consistent with what we know about the anatomical heterogeneity of the region. These results also provide insight into the observational learning process by which someone else's confidence can sway and reassure our choices.</jats:p>",Independent Neural Computation of Value from Other People's Confidence,"Expectation of reward can be shaped by the observation of actions and expressions of other people in one's environment. A person's apparent confidence in the likely reward of an action, for instance, makes qualities of their evidence, not observed directly, socially accessible. This strategy is computationally distinguished from associative learning methods that rely on direct observation, by its use of inference from indirect evidence. In twenty-three healthy human subjects, we isolated effects of first-hand experience, other people's choices, and the mediating effect of their confidence, on decision-making and neural correlates of value within ventromedial prefrontal cortex (vmPFC). Value derived from first-hand experience and other people's choices (regardless of confidence) were indiscriminately represented across vmPFC. However, value computed from agent choices weighted by their associated confidence was represented with specificity for ventromedial area 10. This pattern corresponds to shifts of connectivity and overlapping cognitive processes along a posterior-anterior vmPFC axis. Task behavior and self-reported self-reliance for decision-making in other social contexts correlated. The tendency to conform in other social contexts corresponded to increased activation in cortical regions previously shown to respond to social conflict in proportion to subsequent conformity (Campbell-Meiklejohn et al., 2010). The tendency to self-monitor predicted a selectively enhanced response to accordance with others in the right temporoparietal junction (rTPJ). The findings anatomically decompose vmPFC value representations according to computational requirements and provide biological insight into the social transmission of preference and reassurance gained from the confidence of others. SIGNIFICANCE STATEMENT Decades of research have provided evidence that the ventromedial prefrontal cortex (vmPFC) signals the satisfaction we expect from imminent actions. However, we have a surprisingly modest understanding of the organization of value across this substantial and varied region. This study finds that using cues of the reliability of other peoples' knowledge to enhance expectation of personal success generates value correlates that are anatomically distinct from those concurrently computed from direct, personal experience. This suggests that representation of decision values in vmPFC is suborganized according to the underlying computation, consistent with what we know about the anatomical heterogeneity of the region. These results also provide insight into the observational learning process by which someone else's confidence can sway and reassure our choices.","The term ""network"" refers to the complex system of interconnected nodes and edges that make up the brain. The network is composed of various types of neurons, such as neurons that process sensory information, neurons that process motor information, and neurons that process contextual information."
214,Neural correlates of effort-based behavioral inconsistency,,Neural correlates of effort-based behavioral inconsistency,,"Summary: Brief overview of the book's main points, including the book's title, abstract, and the book's focus."
